ffffcc	fff2c8	ffdfc8	fdefff
9933ff	7da2ff	008de8	7a7078
9933cc	007af6	0073c2	885d64
993399	005ebf	496192	914c51
993366	505b80	625961	963d40
993333	5f5941	6c552d	993335
993300	635913	705600	9a3032
9900ff	83a6ff	008ce5	796a71
9900cc	2782ff	0073c0	87555b
990099	0067d0	385b90	904044
990066	39538f	57535f	962b2c
990033	55514a	634e2c	981612
990000	5a5117	674f00	991100
66ffff	eae7f0	ebdfff	88efff
66ffcc	f1e4bf	ffddd3	8befff
66ff99	f6e28d	ffd5a7	8eeeff
66ff66	f8e15d	ffd08b	90eeff
66ff33	fae02a	ffcf7c	92edff
66ff00	fae000	ffce79	92edff
66ccff	b2bef5	adbeff	57d1e1
66cccc	bdbbc1	c3b7d1	6bcad9
66cc99	c4b88f	d2b29f	77c4d3
66cc66	c8b65e	daae6e	7ec1cf
66cc33	cab52d	dfac42	81bfcd
66cc00	cab500	e0ac2e	82becd
6699ff	6e98fe	519cfe	3ea9b6
6699cc	8593c7	8093cd	5a9fab
669999	918f93	978c9c	6997a3
669966	988c61	a4876a	71929d
669933	9b8b2f	aa853b	74909a
669900	9b8b00	ac8421	758f9a
6666ff	518dff	0090ee	228791
6666cc	326ed5	0076c9	4d7982
666699	59699c	586a98	5e6d75
666666	686666	6f6367	67656c
666633	6d6432	795f35	6b6067
666600	6f6300	7b5e11	6c5f66
6633ff	6e9aff	008ce4	007179
6633cc	0074ea	0076c2	445d64
663399	0059b4	005995	584c51
663366	324676	3d4763	623d41
663333	46433a	4f4031	663336
663300	4a420b	534000	673033
6600ff	7aa1ff	008be1	006b73
6600cc	007cf8	0076bf	42545b
660099	0065ca	005a94	563f44
660066	00478e	253d60	602b2d
660033	323748	3f352f	651615
660000	3c360f	453500	660b00
33ffff	e7e5ef	e7ddff	74efff
33ffcc	eee2bd	fcdbd4	76efff
33ff99	f3df8c	ffd4a6	78eeff
33ff66	f5de5c	ffcf88	79eeff
33ff33	f7dd29	ffcd78	7aedff
33ff00	f7dd00	ffcd74	7aedff
33ccff	aebbf2	a7bbff	00d1e0
33cccc	b9b7bf	bdb4d1	3ecad9
33cc99	c0b48e	ccaea0	54c4d3
33cc66	c4b25d	d6ab6f	5ec1cf
33cc33	c6b22c	daa943	63bfcd
33cc00	c6b100	dba830	64bfd7
3399ff	6993fa	3999ff	00abb7
3399cc	7f8ec3	758fce	00a0ac
339999	8c8a90	8f879d	3997a3
339966	92875e	9d826b	49929d
339933	95862e	a4803c	4f909a
339900	958600	a58600	518f9a
3366ff	2581ff	0090ec	009099
3366cc	2067cd	0078c9	007f87
336699	506195	43639a	146d76
336666	5e5d61	615b68	35656d
336633	645b2f	6d5737	3f6068
336600	655b00	705617	415f66
3333ff	6094ff	008ce2	008187
3333cc	0070e1	0078c2	006a70
333399	0054aa	005d99	005056
333366	19376a	003b65	263c41
333333	343333	373133	333236
333300	373200	3d2f09	363033
3300ff	739dff	008bdf	007c82
3300cc	0079f2	0076bf	006469
330099	0062c4	005d96	00474b
330066	00468b	003f67	212a2d
330033	002448	131e30	301517
330000	1e1b08	221a00	330600
00ffff	e6e4ee	e6dcff	6eefff
00ffcc	ede1bd	fbdad4	70efff
00ff99	f2df8c	ffd3a6	72eeff
00ff66	f5dd5c	ffcf87	73eeff
00ff33	f6dd29	ffcd77	73edff
00ff00	f6dc00	ffcd72	73edff
00ccff	adbaf2	a5bbff	00d0df
00cccc	b8b6bf	bbb3d1	29cad9
00cc99	bfb38d	cbaea0	47c4d3
00cc66	c3b25d	d4aa6f	54c1cf
00cc33	c5b12b	d9a844	59bfcd
00cc00	c5b000	daa831	5abfcd
0099ff	6792f8	3398ff	00acb7
0099cc	7e8dc2	728ecf	00a1ac
009999	8a898f	8d869d	1f97a3
009966	90865e	9b816c	39929d
009933	93852d	a27e3d	42909a
009900	948500	a37e25	448f9a
0066ff	007efe	0090ec	00929a
0066cc	1a66cc	0078c9	00828a
006699	4e5f93	3d629a	00727a
006666	5c5b5f	5e5a69	15656d
006633	61592e	6a5538	2a6068
006600	635800	6d5418	2d5f66
0033ff	5b91ff	008ce2	008389
0033cc	006fde	0078c2	006f74
003399	0053a6	005e9a	00595e
003366	0d3366	003e68	004347
003333	2e2e30	2f2d34	0a3236
003300	312c00	362a0c	173033
0000ff	719cff	008bdf	007f85
0000cc	0078f0	0076be	006a6e
000099	0060c1	005e97	005155
000066	004487	004168	003739
000033	002346	002135	001c1d
